tamanho,arestas,repeticao,fonte,algoritmo,tempo_s,co2_kg,co2_mg
100,511,10,36,Classic_O(V^2),0.0014437430000384666,6.421675286490681e-09,0.006421675286490681
100,511,10,36,MinHeap_O((V+E)logV),0.0010627249999970445,5.156857207328565e-09,0.005156857207328565
100,511,10,36,NetworkX (Ref),0.0006793949999632787,4.164098739966697e-09,0.004164098739966697
100,511,10,76,Classic_O(V^2),0.0009221500000080596,4.836833835988774e-09,0.0048368338359887735
100,511,10,76,MinHeap_O((V+E)logV),0.0007034249999833264,4.073683903565609e-09,0.004073683903565609
100,511,10,76,NetworkX (Ref),0.0006777049999868723,4.505244983837962e-09,0.004505244983837962
100,511,10,2,Classic_O(V^2),0.0009488629999623299,5.117272270946864e-09,0.005117272270946864
100,511,10,2,MinHeap_O((V+E)logV),0.0006660899999815229,4.48413622494421e-09,0.00448413622494421
100,511,10,2,NetworkX (Ref),0.0006185089999917182,4.023510517736069e-09,0.0040235105177360685
100,511,10,66,Classic_O(V^2),0.0009095290000118439,4.984700772864417e-09,0.004984700772864417
100,511,10,66,MinHeap_O((V+E)logV),0.0010832990000153586,5.261255972107044e-09,0.0052612559721070444
100,511,10,66,NetworkX (Ref),0.0009806680000110646,1.100123564287696e-08,0.01100123564287696
